"Id","Type","Rooms","District","Adress","Floor","HouseFloor","Square","LivSquare","KitSquare","Windows","Furniture","Repair","Balcony glassed","WC","Price"
"0","Living","1","Орджоникидзевский","Сиреневый проезд 28","4","9","32.4","18","9","пластик","да","да","","","2050000"
"1","Living","1","Правобережный"," Им. газеты ""Правда"" 62","1","5","32","17","6","пластик","да","да","","","2050000"
"2","Living","1","Ленинский","Строителей 52","3","3","31","","","пластик","да","да","да","","2100000"
"3","Living","1","Ленинский","Ленинградская 19","5","5","30","","6","пластик","","да","","","2050000"
"4","Living","1","Правобережный"," Советской Армии 33/1","9","9","30","17","6","пластик","да","да","да","совм","1490000"
"5","Living","1","Правобережный","Грязнова 42/2","7","14","34","28","7","деревянные","да","да","да","разд","1600000"
"6","Living","1","Ленинский(Левый берег)","Панькова 3/1","1","3","26","13","7","пластик","","да","","","1000000"
"7","Living","1","Орджоникидзевский (левый берег)","Фадеева 16","2","2","30","18","7","пластик","да","да","","","1350000"
"8","Living","1","Ленинский","Карла Маркса 16","3","5","43","19","14","пластик","да","да","да","","2650000"
"9","Living","1","Орджоникидзевский","Карла Маркса 237/2","4","10","26","16","5","пластик","","да","да","","1800000"
"10","Living","1","Орджоникидзевский","Карла Маркса 237/2","5","10","26","18","4","пластик","","","","","1530000"
"11","Living","1","Орджоникидзевский","Карла Маркса 204/3","2","9","35","18.5","5","деревянные","","да","да","","2400000"
"12","Living","1","Правобережный","Советская 123а/4","2","14","38.4","28.4","10","пластик","","да","","","2515000"
"13","Living","1","Правобережный"," Ленина пр-т 87А","4","15","35.98","16.56","10.34","пластик","","","","","2050000"
"14","Living","1","Орджоникидзевский"," Коробова 16","1","5","32.8","18","7","пластик","да","да","да","совм","2050000"
"15","Living","1","Орджоникидзевский","Ленина пр-т 135/2","1","5","45","","10","пластик","да","да","","","2450000"
"16","Living","1","Ленинский","Октябрьская 30","1","5","32.9","19","5","пластик","да","да","нет","","2000000"
"17","Living","1","Правобережный","Ленина пр-т 98/1","3","9","21.8","10","5","деревянные","","нет","","","1100000"
"18","Living","1","Правобережный","Им. газеты ""Правда"" 83","4","5","34","21","6","","","да","","","1500000"
"19","Living","1","Орджоникидзевский","Труда 9/2","2","9","34","17","9","пластик","","да","да","разд","2150000"
"20","Living","1","Ленинский","Московская 20","2","5","38.1","27","5","пластик","","","","совм","2438000"
"21","Living","1","Ленинский","Московская 20","4","5","43.2","28","10","пластик","","","","","2764000"
"22","Living","1","Ленинский","Московская 20","3","5","36.1","20","10","пластик","","","","","2093000"
"23","Living","1","Ленинский","Московская 20","3","5","41.6","25","10","пластик","","","","","2496000"
"24","Living","1","Орджоникидзевский (левый берег)","Чайковского 51","3","3","35","19","7","пластик","да","да","да","","1600000"
"25","Living","1","Ленинский","Ленина пр-т 18","2","4","20.6","20.6","20.6","пластик","","","","совм","1133000"
"26","Living","1","Ленинский","Ленина пр-т 18","2","4","22.7","22.7","22.7","пластик","","","","совм","1248000"
"27","Living","1","Ленинский","Ленина пр-т 18","2","4","33.8","20","10","пластик","","","","совм","1690000"
"28","Living","1","Ленинский","Карла Маркса 6","5","5","30","19","6","пластик","да","да","да","","1600000"
"29","Living","1","Правобережный","Им. газеты ""Правда"" 12/1","7","9","22","12","5.5","пластик","","да","да","","1420000"
"30","Living","1","Орджоникидзевский","Зеленый Лог 71","1","3","47","19","9","пластик","","","","","2900000"
"31","Living","1","Орджоникидзевский","Жукова 23","6","9","41","19","9","пластик","","да","","","2300000"
"32","Living","1","Правобережный","Советской Армии 37/1","9","9","29.7","17","5","","","нет","","","1290000"
"33","Living","1","Правобережный","Им. газеты ""Правда"" 12/1","1","9","30.2","17","5","","","да","","","1450000"
"34","Living","1","Ленинский"," Карла Маркса 82/2","5","5","31.6","18","6","пластик","","нет","","","1720000"
"35","Living","1","Ленинский","Строителей 58","4","6","59.9","","8.2","пластик","да","да","да","разд","3400000"
"36","Living","1","Правобережный","Грязнова 44/4","12","14","36","","9","пластик","да","да","да","","1610000"
"37","Living","1","Ленинский","Вокзальная 110","2","4","32.1","18.3","6","пластик","","да","да","","1850000"
"38","Living","1","Правобережный","Карла Маркса 128","3","5","31.4","18","6","пластик","да","да","да","","1830000"
